,id,reference_space_id,structure_id,x,y,z
526,2284,4,16519,6112,1536,3240
527,2827,3,17091,7024,2992,3660
528,8774,9,17222,11500,4425,6400
529,3860,5,16658,5520,1312,2200
530,4139,7,17289,9498,6500,4850
531,1659,3,15740,4928,2128,3300
532,3233,3,17478,8368,3536,2900
533,8036,9,16742,8525,5250,5750
534,179,1,17095,3968,2512,820
535,4043,6,17734,10336,5394,3900
536,4072,7,16311,5227,3953,3700
537,3311,3,17562,8576,4032,3360
538,3824,5,15666,4272,4000,2440
539,3919,5,17692,8016,4128,2720
540,4169,7,17653,12547,5997,4650
541,6446,9,15740,6050,3200,6350
542,2998,4,17250,7040,3744,3420
543,4023,6,17355,9096,4707,2740
544,4104,7,16791,8745,4121,4150
545,77,1,16377,2608,1104,1520
546,2260,4,16502,6592,2256,3720
547,208,1,17475,4432,3664,1380
548,3897,5,17292,6448,3824,2340
549,4110,7,16813,9498,3786,3675
550,6440,9,15736,8300,5850,5725
551,625,2,16306,5456,2112,3340
552,2836,4,17095,7088,3168,2700
553,3063,3,17318,7360,3872,3480
554,4220,8,15623,6835,6835,4425
555,1654,4,15736,6592,3952,3560
556,860,2,16742,5792,1584,3360
557,2574,4,16791,6960,2000,3380
558,4059,7,15750,5076,3836,2025
559,1165,2,17437,6992,3136,3120
560,2089,3,16313,5600,2656,3020
561,4771,8,16353,8410,5394,3900
562,5202,8,16876,9733,4573,4600
563,7885,10,16658,9575,2150,4865
564,1122,2,17351,6592,3376,3180
565,2502,4,16726,6928,1776,3440
566,7321,10,16313,6800,4675,3615
567,5084,8,16726,9247,4423,4500
568,393,2,15570,4240,3264,3380
569,4144,7,17351,10001,6701,4850
570,4154,7,17437,11107,6617,4275
571,935,2,16916,7040,2240,2980
572,3948,6,16311,4372,3451,2740
573,4027,6,17418,9415,4573,2900
574,324,1,126651678,2976,1056,1440
575,3931,6,15736,6483,4741,3900
576,7409,10,16368,8000,5600,5640
577,6,1,15570,2672,2368,1520
578,5154,8,16811,10621,3752,4850
579,9092,9,17415,10750,7300,5750
580,5812,8,17650,13067,7170,5200
581,3885,5,17123,5392,3552,2620
582,3926,6,15570,3970,4490,3880
583,5523,8,17289,10235,7086,5175
584,7,1,15576,2880,2352,1160
585,4003,6,17123,7237,4791,3280
586,8711,10,17182,9325,6300,4890
587,2688,4,16919,7744,2656,2800
588,7311,10,16306,8075,5775,5640
589,1014,2,17123,5824,2800,3180
590,3348,4,17595,8624,4144,3500
591,8377,10,16967,9500,4800,4940
592,175,1,17091,3984,2032,1400
593,3041,3,17292,7472,3632,2980
594,347,1,126651802,4208,1456,1320
595,2174,4,16382,5616,2128,3320
596,2964,4,17219,6928,3584,3660
597,4067,7,16247,7220,5880,4200
598,321,1,126651658,3408,1472,1420
599,379,1,126652010,4768,4304,1280
600,3127,3,17380,7648,3936,3460
601,5366,8,17095,11056,5595,3625
602,4012,6,17222,9214,4305,2200
603,5730,8,17537,12128,7354,5200
604,8460,9,17025,10325,5225,7750
605,377,1,126651994,4736,3984,1260
606,9406,9,17620,12725,6675,5825
607,7648,9,16511,7950,2725,5750
608,8884,9,17289,9675,7075,5750
609,110,1,16658,4048,832,900
610,3977,6,16753,8242,2396,3860
611,2971,3,17223,7248,3504,2960
612,8006,9,16726,8875,4250,6475
613,3995,6,17024,9063,3803,2640
614,3170,4,17417,8320,3008,3400
615,8570,9,17095,10600,5750,7675
616,2433,3,16658,7552,1328,2920
617,2259,3,16502,6592,2256,3720
618,340,1,126651766,4352,1328,1300
619,1154,2,17417,7216,2384,3000
620,1520,4,15570,4944,2992,3740
621,2862,4,17123,6752,3312,3400
622,3971,6,16658,7404,1826,3100
623,8568,9,17094,12125,5500,8375
624,4098,7,16742,8108,4774,4825
625,135,1,16753,4480,1504,1360
626,3165,3,17415,7664,3888,3560
627,4014,6,17250,7756,5193,3400
628,337,1,126651746,4000,1040,1380
629,869,2,16754,6304,1472,2940
630,868,2,16753,6832,1728,3240
631,9129,10,17437,11725,6850,5090
632,3871,5,16813,5840,2208,2040
633,4102,7,16754,9381,3267,3800
634,4160,7,17537,11525,7053,4850
635,7320,9,16313,6800,4675,7775
636,2248,4,16487,6256,2208,3440
637,3905,5,17417,7168,2992,2400
638,4136,7,17222,10738,4758,4450
639,5465,8,17219,9565,6868,5200
